"RouteID","StopID","EstimateTime","GoBack"
"16663","147429","-1","2"
"16576","137799","-1","2"
"17528","179557","1239","1"
"16420","123379","1907","1"
"16902","160221","-4","2"
"15181","57668","288","1"
"16735","154532","571","0"
"16531","133046","-3","3"
"17940","197264","6824","2"
"17625","183895","2190","2"
"10148","33995","1215","1"
"17813","193187","-3","3"
"16464","127505","2323","0"
"10329","14898","541","1"
"16461","126530","877","0"
"16542","156368","3939","0"
"16620","141210","-1","2"
"16745","155266","-4","2"
"16432","124194","0","1"
"17519","178750","-1","2"
"16579","138009","-3","3"
"16975","162185","-1","2"
"16393","122079","1298","1"
"10281","129755","-1","2"
"17001","162686","1201","0"
"17625","183973","1506","1"
"16907","160369","-1","2"
"16681","198642","-1","2"
"16571","137240","1742","0"
"16526","132671","-3","3"
"16591","139126","238","1"
"16603","140050","821","0"
"17570","181512","535","0"
"16931","187184","2442","2"
"16243","112438","579","1"
"16643","142799","-1","2"
"17537","184265","-3","3"
"16637","142851","-1","2"
"16995","162531","983","2"
"16978","162284","-3","3"
"16847","174802","3045","2"
"17526","179235","1113","1"
"10149","170037","269","2"
"16835","158041","2603","2"
"16579","138013","-3","3"
"16770","157022","1929","2"
"16688","149593","699","1"
"16861","158663","-1","2"
"17311","170914","3847","2"
"16274","193244","3086","2"
"16499","129572","987","0"
"16501","185542","-1","2"
"16670","147758","167","1"
"17545","198913","-1","2"
"16296","114988","-1","2"
"16999","162637","3433","2"
"16527","132707","-1","2"
"17570","181536","60","1"
"17716","188077","-1","2"
"16608","140442","1021","1"
"16557","203030","-1","2"
"10172","34531","249","1"
"17528","179522","964","1"
"16767","156938","-1","2"
"17528","179344","1124","2"
"17958","198411","970","1"
"16527","132770","-1","2"
"16920","160935","1181","2"
"17532","179679","829","0"
"16859","174868","-1","2"
"10753","38265","3275","2"
"16538","133699","5000","2"
"16732","154166","551","0"
"17294","173828","1622","0"
"17013","163086","4395","2"
"17534","179837","1012","0"
"17866","194078","-1","2"
"16685","149313","3801","0"
"17809","191710","5649","2"
"16675","148038","219","0"
"16781","178021","7219","2"
"16431","152368","95","1"
"17482","176599","4923","0"
"17720","188648","-3","3"
"16501","129680","-1","2"
"16670","147714","549","0"
"16873","159260","-1","2"
"16393","121953","-1","2"
"16908","160383","-1","2"
"16531","133044","-3","3"
"17294","185040","5417","0"
"16487","128923","460","1"
"16532","196683","3809","2"
"16767","186997","243","0"
"16594","139338","9","0"
"16685","149251","2030","2"
"16906","160309","1240","2"
"16739","155606","5179","2"
"17292","176216","1026","0"
"10491","37173","559","0"
"17360","171637","390","1"
"17832","193091","-1","2"
"17536","187727","-1","2"
"16809","157780","-3","3"
"16628","141837","3953","2"
"16296","192038","-1","2"
"16740","154969","279","1"
"16835","158014","741","2"
"16530","133034","-3","3"
"10116","20183","8593","2"
"16956","161730","6987","2"
"16762","156683","-1","2"
"16210","111076","-1","2"
"16688","149576","853","1"
"17528","179434","264","0"
"16593","139264","-1","2"
"17775","190080","-4","2"
"16393","192697","937","1"
"16773","157179","3535","2"
"17532","195844","2029","2"
"16774","157260","2812","0"
"16608","140449","137","1"
"17537","179960","-1","2"
"16538","133641","810","0"
"16631","142049","6432","2"
"16910","160578","311","0"
"16662","184849","1848","0"
"16861","158686","-1","2"
"16691","152561","233","1"
"17847","193299","-3","3"
"17718","188343","3708","2"
"16530","132987","-3","3"
"16952","161654","-1","2"
"5415","14023","1005","0"
"16632","186993","189","0"
"17865","193995","2284","2"
"16726","153443","2114","0"
"16522","198304","5937","2"
"16604","140160","-1","2"
"17802","191346","3232","0"
"10424","10371","105","0"
"16544","134065","355","0"
"16557","134514","-1","2"
"17837","194385","-3","3"
"16585","170522","-1","2"
"18098","203120","859","2"
"16651","143623","-1","2"
"17812","197392","-3","3"
"16610","140584","1000","0"
"16659","147224","489","0"
"16604","140153","456","0"
"17392","197568","-1","2"
"16590","138974","4563","2"
"16752","156514","3309","2"
"17524","179067","212","0"
"16595","139419","555","0"
"16628","141894","7075","2"
"16867","159036","4199","2"
"16740","154987","1247","1"
"16583","138491","125","0"
"16893","159943","760","2"
"16753","155917","-1","2"
"17940","197199","1964","2"
"17552","180876","-1","2"
"16574","137501","-1","2"
"16529","156412","3186","0"
"16909","160512","1548","0"
"16735","154547","1418","1"
"16788","157540","5408","2"
"10148","33911","711","0"
"16937","161367","5870","2"
"17868","194595","2483","2"
"17839","194402","-3","3"
"17013","163100","1077","1"
"16971","162033","-1","2"
"16731","154310","770","1"
"17523","178951","659","0"
"17937","197067","-1","2"
"17718","188304","1414","2"
"16899","160106","-4","2"
"16977","162273","-3","3"
"16734","154449","3598","2"
"16590","195848","6156","2"
"17525","198844","-1","2"
"10491","37216","366","1"
"17904","195780","-3","3"
"16586","138635","194","0"
"17523","193176","-1","2"
"16668","151133","726","1"
"10731","14207","1538","1"
"16565","136038","3163","2"
"10196","35126","-4","2"
"16660","145820","-1","2"
"16491","129130","2698","2"
"16511","130787","1176","1"
"16976","162248","-1","2"
"17532","179643","120","0"
"16659","147145","594","0"
"16811","157805","-3","3"
"16591","139060","413","0"
"16668","151130","187","1"
"10732","14413","1216","0"
"16515","131337","1411","0"
"17482","176554","2579","0"
"10475","57911","-1","2"
"10491","37162","510","0"
"10196","35139","833","0"
"10161","34356","275","2"
"17292","168724","307","1"
"10143","13925","2098","0"
"17568","181427","-1","2"
"16620","141209","-1","2"
"16602","139989","1471","0"
"16528","132855","663","1"
"16762","156703","-1","2"
"16908","160420","-1","2"
"16626","196887","1807","2"
"16695","150333","3086","2"
"16849","158345","1830","2"
"16604","140115","-1","2"
"16614","140866","-1","2"
"10511","37567","197","0"
"16577","137914","-3","3"
"16865","158936","3354","2"
"16897","160054","-4","2"
"17576","181813","282","0"
"16500","129649","564","1"
"16461","126582","831","1"
"16689","149727","1179","1"
"16694","150256","883","0"
"18041","201781","0","0"
"16611","140615","1014","0"
"16582","138400","4854","2"
"16908","160444","-1","2"
"16628","190107","6573","2"
"10753","38302","554","1"
"17525","179132","-1","2"
"16755","155989","-1","2"
"17937","198682","64","0"
"17923","196583","-1","2"
"16670","197920","546","1"
"16851","158421","2351","0"
"17717","188131","-1","2"
"17465","174964","-3","3"
"17923","196640","-1","2"
"17916","196264","253","0"
"17937","197030","507","0"
"16406","122431","167","2"
"17360","171611","474","0"
"16735","194678","437","0"
"16651","192011","-1","2"
"17923","196649","-1","2"
"16487","128917","0","1"
"17565","181309","4003","2"
"17563","181295","-3","3"
"16891","159909","2969","0"
"16865","158918","2277","2"
"16269","113723","-1","2"
"16732","154223","2077","1"
"16462","127427","86","1"
"10281","12761","945","0"
"10116","20192","9526","2"
"16530","132949","-3","3"
"10148","33905","69","0"
"16843","158256","2008","2"
"17963","198577","-3","3"
"16835","158087","1172","1"
"17945","199140","1775","0"
"17835","192850","-3","3"
"17671","185274","-1","2"
"10772","38505","-1","2"
"16912","194492","3081","0"
"16670","147696","-1","2"
"16629","141950","6434","2"
"16393","122072","975","1"
"17806","202593","1250","0"
"16513","130964","2539","0"
"16688","149568","257","1"
"17518","178743","507","1"
"16641","142658","-3","3"
"17432","194287","-3","3"
"16575","137684","-1","2"
