"Id","providerId","providerName","nameZh","nameEn","pathAttributeId","pathAttributeName","pathAttributeEname","buildPeriod","departureZh","departureEn","destinationZh","destinationEn","realSequence","distance","goFirstBusTime","backFirstBusTime","goLastBusTime","backLastBusTime","peakHeadway","holidayHeadwayDesc","offPeakHeadway","busTimeDesc","holidayGoFirstBusTime","holidayBackFirstBusTime","holidayGoLastBusTime","holidayBackLastBusTime","holidayBusTimeDesc","headwayDesc","holidayPeakHeadway","holidayOffPeakHeadway","segmentBufferZh","segmentBufferEn","ticketPriceDescriptionZh","ticketPriceDescriptionEn"
"16978","16253","金山區公所","F933-0800","F933-0800","158105","F933-0800","F933-0800","10","金山區公所","Jinshan District Office","金青門口","Jinshan Youth Activity Center","99","99","0800","0800","0800","0800","","例假日停駛","","","","","","","","","","","","","",""
"16977","16253","金山區公所","F933-0620學生專車","F933 Special train","158104","F933-0620學生專車","F933 Special train","10","三界橋","Sanjie Bridge","金山區公所","Jinshan District Office","99","99","0620","0620","0620","0620","","例假日停駛","","","","","","","","寒暑假停駛","","","","","",""
"17779","16181","欣欣客運","F706惠國市場","F706","159124","F706惠國市場","F706 Huiguo Market","10","寶興路60巷口","Lane 60 Baoxing Rd. Entrance","新店區公所","Xindian District Office","99","99","0930","0930","1110","1110","","","","","","","","","","","","","","","",""
"17563","16235","林口區公所","F232副","F232sub","159027","F232副捷運林口站","F232 Sub Linkou MRT station","10","城市之洲社區","Chengshizhizhou Community","安敦新世界","AnDun New World","99","99","0700","1800","0800","1900","","例假日、國定假日全班次不行駛","","","","","","","","","","","","","",""
"17563","16235","林口區公所","F232副","F232sub","158733","F232副城市之洲社區","F232 Sub ChengshizhizhouCommunity","10","城市之洲社區","Chengshizhizhou Community","安敦新世界","AnDun New World","99","99","0700","1800","0800","1900","","例假日、國定假日全班次不行駛","","","","","","","","","","","","","",""
"16531","16186","淡水客運","866","866","157566","866","866","10","捷運淡水站","Tamsui","內橫山","Neihengshan","1","47.6","0845","0845","0845","0845","","","","","0845","0845","0845","0845","","","","","大溪橋-北新莊、三芝-埔坪","Daxi Bridge-Beixinzhuang, Sanzhi-Puping","三段票","3 segments"
"16532","16186","淡水客運","867","867","157567","867","867","10","捷運淡水站","MRT Tamsui Sta.","順天聖母廟","Shuntian Shengmu Temple","1","61.4","1135","1135","1135","1135","","","","","1135","1135","1135","1135","","","","","灰瑤子-興化店、三芝-薪水居易、石門","Huiyaozi-Xinghuadian ,Sanzhi-Xinshui Juyi，Shimen","四段票","4 segments"
"16659","16185","指南客運","880","880","157722","880淡海站","880 DanHai Station","10","樹林","Shulin","淡海","Danhai","64","73.3","0530","0530","2200","2200","1015","20:00後30分一班車","1520","","0530","0530","2200","2200","","20:00後30分一班車","1530","1530","1.捷運輔大站-下泰山巖 2.成德公園-馬偕醫院","1. MRT Fu Jen University Sta.- Xiataishanyan 2.Chengde Park-Mackey Memorial Hospital","三段票","3 segments"
"16659","16185","指南客運","880","880","157723","880指南客運樹林站","880 Zhinan Bus Company Shulin Station","10","樹林","Shulin","淡海","Danhai","64","73.3","0530","0530","2200","2200","1015","20:00後30分一班車","1520","","0530","0530","2200","2200","","20:00後30分一班車","1530","1530","1.捷運輔大站-下泰山巖 2.成德公園-馬偕醫院","1. MRT Fu Jen University Sta.- Xiataishanyan 2.Chengde Park-Mackey Memorial Hospital","三段票","3 segments"
"16522","16185","指南客運","881","881","157557","881","881","10","淡海","Danhai","捷運淡水站","MRT Tamsui Sta.","4","15","0530","0530","2200","2200","","","","","0730","0730","2050","2050","","","","","","","一段票","1 segments"
"16522","16185","指南客運","881","881","159493","881行經台北灣","881S","10","淡海","Danhai","捷運淡水站","MRT Tamsui Sta.","4","15","0530","0530","2200","2200","","","","","0730","0730","2050","2050","","","","","","","一段票","1 segments"
"16543","16186","淡水客運","882","882","157578","882","882","10","馬偕醫學院","Mackay Medical College","捷運紅樹林站","MRT Hongshulin Sta.","8","35.3","0610","0610","1940","1940","","","","","0610","0610","1940","1940","","","","","灰瑤子-興化店","Huiyaozi-Xinghuadian","二段票","Charge for 2 sections"
